OasisID,continent,exact_background_class,background_class,polygon_area_km2,ghsl_population_2020_persons,ghsl_population_density_persons_per_km2,ghsl_built_up_area_2020_km2,ghsl_built_up_area_fraction
ASCN12113,Asia,BWk_background,BWk oases,7.062131,5.42315,0.7679197681266462,0.000605,8.566819278770105e-05
ASCN12071,Asia,BWk_background,BWk oases,18.634194,2291.557963,122.9759635968156,0.129752,0.0069631130812526
ASCN12141,Asia,BWk_background,BWk oases,4.315409,95.510802,22.13250285198924,0.006283,0.0014559454271889
ASCN12224,Asia,BWk_background,BWk oases,1.352037,0.0,0.0,0.0,0.0
ASCN12182,Asia,BWk_background,BWk oases,2.294019,0.0,0.0,0.0,0.0
ASCN12096,Asia,BWk_background,BWk oases,9.408764,307.869115,32.72152590924802,0.019053,0.0020250268791947
ASCN12119,Asia,BWk_background,BWk oases,6.307587,57.72151,9.151123876690088,0.003649,0.0005785096582892
ASCN12053,Asia,BWk_background,BWk oases,33.222957,354.05138,10.6568292521343,0.022398,0.000674172380261
ASCN12173,Asia,BWk_background,BWk oases,2.648864,32.165021,12.14294920388514,0.001022,0.0003858257728596
ASCN12175,Asia,BWk_background,BWk oases,2.630539,0.0,0.0,0.0,0.0
ASCN12135,Asia,BWk_background,BWk oases,4.804714,20.025607,4.16790822513057,0.001915,0.0003985669074163
ASCN12252,Asia,BWk_background,BWk oases,1.084876,0.0,0.0,0.0,0.0
ASCN12189,Asia,BWk_background,BWk oases,2.149575,8.283216,3.853420327273996,0.000263,0.0001223497668143
ASCN12139,Asia,BWk_background,BWk oases,4.440525,1.734573,0.3906234060161805,5.5e-05,1.238592283570073e-05
ASCN12132,Asia,BWk_background,BWk oases,4.911979,109.176289,22.22653822420658,0.006394,0.0013017156628723
ASCN12222,Asia,BWk_background,BWk oases,1.368933,0.0,0.0,0.0,0.0
ASCN12227,Asia,BWk_background,BWk oases,1.324022,0.0,0.0,0.0,0.0
ASCN12125,Asia,BWk_background,BWk oases,5.965913,33.357993,5.591431353424028,0.002195,0.0003679235684462
ASCN12219,Asia,non_BWh_BWk_background,non-BW oases,1.379956,0.0,0.0,0.0,0.0
ASCN12158,Asia,BWk_background,BWk oases,3.545244,24.553581,6.925780284798452,0.001381,0.0003895359529555
ASCN12156,Asia,BWk_background,BWk oases,3.599903,296.631696,82.3999135532263,0.016703,0.0046398472403284
ASCN12240,Asia,non_BWh_BWk_background,non-BW oases,1.235874,4.044754,3.272788326318055,0.000246,0.000199049417659
ASCN12063,Asia,BWk_background,BWk oases,22.152354,2322.807305,104.8560033394194,0.051846,0.0023404284709426
